data;tipo;origem;destino;codigo;cod_cor;cor;tamanho;quant;valor;nota;romaneio
2026-08-31;entrada;ELENA ES;EGREY JDS;100007;0036;0036 - OFF-WHITE;P;1;879.0;3578;571279
2026-08-31;saida;EGREY JDS;ELENA ES;100009;0001;0001 - BRANCO;36;1;78.0;2879;571283
2026-08-31;saida;EGREY JDS;ELENA ES;336001;0002;0002 - PRETO;38;1;145.0;2879;571283
2026-08-31;entrada;ELENA ES;EGREY JDS;336003;0002;0002 - PRETO;40;1;230.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336003;0002;0002 - PRETO;44;1;230.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336001;0002;0002 - PRETO;40;1;145.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336001;0002;0002 - PRETO;42;1;145.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336001;1587;1587 - AMARELO;38;1;145.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336001;1587;1587 - AMARELO;40;1;145.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336008;0002;0002 - PRETO;38;1;170.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336008;0002;0002 - PRETO;40;1;170.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336008;1587;1587 - AMARELO;36;1;170.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336008;1587;1587 - AMARELO;38;1;170.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336007;0002;0002 - PRETO;40;1;120.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336007;0002;0002 - PRETO;42;1;120.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336007;1587;1587 - AMARELO;38;1;120.0;3579;571287
2026-08-31;entrada;ELENA ES;EGREY JDS;336007;1587;1587 - AMARELO;40;1;120.0;3579;571287
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0040;0040 - VERDE;36;2;1918.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0040;0040 - VERDE;38;5;4795.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0040;0040 - VERDE;40;7;6713.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0040;0040 - VERDE;42;5;4795.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0040;0040 - VERDE;44;3;2877.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0308;0308 - VERMELHO;36;3;2877.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0308;0308 - VERMELHO;38;5;4795.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0308;0308 - VERMELHO;40;7;6713.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0308;0308 - VERMELHO;42;5;4795.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;0308;0308 - VERMELHO;44;3;2877.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;1530;1530 - BEGE;36;3;2877.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;1530;1530 - BEGE;38;5;4795.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;1530;1530 - BEGE;40;7;6713.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;1530;1530 - BEGE;42;4;3836.0;3580;571396
2026-09-01;entrada;ELENA ES;EGREY JDS;239064;1530;1530 - BEGE;44;2;1918.0;3580;571396
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0040;0040 - VERDE;36;1;959.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0040;0040 - VERDE;38;3;2877.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0040;0040 - VERDE;40;7;6713.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0040;0040 - VERDE;42;4;3836.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0040;0040 - VERDE;44;2;1918.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;36;2;1918.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;38;4;3836.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;40;7;6713.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;42;3;2877.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;44;2;1918.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;1530;1530 - BEGE;36;2;1918.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;1530;1530 - BEGE;38;4;3836.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;1530;1530 - BEGE;40;7;6713.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;1530;1530 - BEGE;42;3;2877.0;3581;571397
2026-09-01;entrada;ELENA ES;IGUATEMI;239064;1530;1530 - BEGE;44;2;1918.0;3581;571397
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;36;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;38;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;40;3;2637.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;42;2;1758.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;44;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;0036;0036 - OFF-WHITE;46;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;36;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;38;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;40;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;42;2;1758.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;44;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;EGREY JDS;239028;1337;1337 - INDIGO;46;1;879.0;3583;571463
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;0036;0036 - OFF-WHITE;38;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;0036;0036 - OFF-WHITE;40;3;2637.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;0036;0036 - OFF-WHITE;42;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;0036;0036 - OFF-WHITE;44;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;36;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;38;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;40;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;42;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;44;1;879.0;3584;571464
2026-09-01;entrada;ELENA ES;IGUATEMI;239028;1337;1337 - INDIGO;46;1;879.0;3584;571464
2026-09-02;entrada;ELENA ES;IGUATEMI;239064;0308;0308 - VERMELHO;42;1;959.0;3585;571501
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;34;1;719.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;36;3;2157.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;38;4;2876.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;40;3;2157.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;42;2;1438.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;0003;0003 - MARINHO;44;1;719.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;1297;1297 - BORDÔ;34;1;719.0;3586;571502
2026-09-02;entrada;ELENA ES;EGREY JDS;334017;1297;1297 - BORDÔ;36;2;1438.0;3586;571502
